Date,Time,Activity,Confidence,Activity
11/25/2017,2:07 PM,Still,1,0
11/25/2017,2:07 PM,Still,0.51,0
11/25/2017,2:07 PM,Still,0.84,0
11/25/2017,2:07 PM,Still,1,0
11/25/2017,2:07 PM,Still,0.84,0
11/25/2017,2:07 PM,Still,1,0
11/25/2017,2:07 PM,Still,0.57,0
11/25/2017,2:08 PM,Still,0.67,0
11/25/2017,2:08 PM,Still,0.64,0
11/25/2017,2:08 PM,Still,0.8,0
11/25/2017,2:08 PM,Still,0.85,0
11/25/2017,2:08 PM,Still,0.86,0
11/25/2017,2:08 PM,Still,0.86,0
11/25/2017,2:08 PM,Still,1,0
11/25/2017,2:08 PM,Still,1,0
11/25/2017,2:08 PM,Still,0.49,0
11/25/2017,2:08 PM,Still,1,0
11/25/2017,2:08 PM,Still,1,0
11/25/2017,2:08 PM,Still,1,0
11/25/2017,2:08 PM,Still,1,0
11/25/2017,2:08 PM,Still,1,0
11/25/2017,2:09 PM,Still,0.51,0
11/25/2017,2:09 PM,Still,1,0
11/25/2017,2:09 PM,Still,0.77,0
11/25/2017,2:09 PM,Still,1,0
11/25/2017,2:09 PM,Still,0.55,0
11/25/2017,2:09 PM,Still,0.42,0
11/25/2017,2:09 PM,Still,0.81,0
11/25/2017,2:09 PM,Still,0.71,0
11/25/2017,2:09 PM,Still,1,0
11/25/2017,2:09 PM,Still,0.54,0
11/25/2017,2:09 PM,Still,0.79,0
11/25/2017,2:09 PM,Still,0.61,0
11/25/2017,2:09 PM,Still,0.75,0
11/25/2017,2:10 PM,Still,1,0
11/25/2017,2:10 PM,Still,1,0
11/25/2017,2:10 PM,Still,1,0
11/25/2017,2:10 PM,Still,0.8,0
11/25/2017,2:10 PM,Still,0.78,0
11/25/2017,2:10 PM,Still,0.73,0
11/25/2017,2:10 PM,Still,0.5,0
11/25/2017,2:10 PM,Still,0.71,0
11/25/2017,2:10 PM,Still,0.56,0
11/25/2017,2:10 PM,Still,1,0
11/25/2017,2:10 PM,Still,0.53,0
11/25/2017,2:10 PM,Still,1,0
11/25/2017,2:10 PM,Still,1,0
11/25/2017,2:11 PM,Still,0.78,0
11/25/2017,2:11 PM,Still,1,0
11/25/2017,2:11 PM,Still,0.8,0
11/25/2017,2:11 PM,Still,1,0
11/25/2017,2:11 PM,Still,0.53,0
11/25/2017,2:11 PM,Still,0.46,0
11/25/2017,2:11 PM,Still,0.61,0
11/25/2017,2:11 PM,Still,0.55,0
11/25/2017,2:11 PM,Still,0.58,0
